"appl_type","appl_no","product_no","patent_no","patexpstr","patexp","drugsub","drugprod","patuse","delist"
"N",21814,1,"5852195*PED","Dec 22, 2019",12/22/2019,,,,
"N",22292,1,"5852195*PED","Dec 22, 2019",12/22/2019,,,,
"N",22363,1,"5856336","Dec 25, 2020",12/25/2020,"Y",,"U-998",
"N",22156,1,"5856346","Jan 5, 2021",1/5/2021,"Y","Y","U-893",
"N",205677,1,"5856529","Dec 9, 2017",12/9/2017,"Y","Y","U-1486",
"N",22129,1,"5858383","Aug 11, 2017",8/11/2017,,,"U-970",
"N",21368,1,"5859006","Nov 21, 2017",11/21/2017,"Y","Y",,
"N",22332,1,"5859006","Nov 21, 2017",11/21/2017,"Y","Y","U-975",
"N",20719,1,"5859037","Nov 13, 2017",11/13/2017,,,"U-251",
"N",22505,1,"5861379","May 26, 2020",5/26/2020,"Y","Y","U-1100",
"N",21794,1,"5863560","Sep 11, 2016",9/11/2016,,"Y",,
"N",207154,1,"5863560","Sep 11, 2016",9/11/2016,,"Y",,
"N",20986,1,"5866538","Jun 20, 2017",6/20/2017,,"Y",,
"N",21172,1,"5866538","Jun 20, 2017",6/20/2017,,"Y",,
"N",21536,1,"5866538","Jun 20, 2017",6/20/2017,,"Y",,
"N",21810,1,"5866538","Jun 20, 2017",6/20/2017,,"Y",,
"N",203313,1,"5866538","Jun 20, 2017",6/20/2017,,"Y",,
"N",20986,1,"5866538*PED","Dec 20, 2017",12/20/2017,,,,
"N",21172,1,"5866538*PED","Dec 19, 2017",12/19/2017,,,,
"N",21810,1,"5866538*PED","Dec 20, 2017",12/20/2017,,,,
"N",20630,1,"5866591","Sep 10, 2017",9/10/2017,,"Y",,
"N",20630,1,"5866591*PED","Mar 10, 2018",3/10/2018,,,,
"N",21087,1,"5866601*PED","Aug 2, 2016",8/2/2016,,,,
"N",21246,1,"5866601*PED","Aug 2, 2016",8/2/2016,,,,
"N",13718,1,"5872147","Dec 5, 2017",12/5/2017,,,"U-585",
"N",20692,1,"5873360*PED","Aug 23, 2016",8/23/2016,,,,
"N",20833,1,"5873360*PED","Aug 23, 2016",8/23/2016,,,,
"N",21077,1,"5873360*PED","Aug 23, 2016",8/23/2016,,,,
"N",21299,1,"5874447","Jun 10, 2017",6/10/2017,,,"U-286",
"N",21299,1,"5874447","Jun 10, 2017",6/10/2017,,,"U-46",
"N",21299,1,"5874447","Jun 10, 2017",6/10/2017,,,"U-518",
"N",204516,1,"5874447","Jun 10, 2017",6/10/2017,"Y",,,
"N",20487,1,"5879706*PED","Jul 19, 2016",7/19/2016,,,,
